"신재생에너지별(1)",신재생에너지별(2),2014,2015,2016,2017,2018,2019,2020
"태양열 (toe)",소계,440,1478,247,437,401,370,340
"태양광 (MWh)",소계,22030,74002,18979,170627,227832,363780,489629
"바이오에너지",바이오가스 (천증기톤),1234,1234,-,14,24,15,15
"바이오에너지",매립지가스 LFG (천증기톤),232,232,-,10,10,9,8
"바이오에너지",바이오디젤 (Tcal),-,-,17737,95,166,178,173
"바이오에너지",우드칩 (Tcal),-,-,-,58,44,26,21
"바이오에너지",성형탄 (Tcal),-,-,326,1,3,3,2
"바이오에너지",임산연료 (Tcal),-,-,-,49,72,39,2
"바이오에너지",목재팰릿 (Tcal),23757,23757,-,236,256,250,232
"바이오에너지",폐목재 (천증기톤),-,-,-,-,-,-,-
"바이오에너지",흑액 (Tcal),-,-,-,-,-,-,-
"바이오에너지",하수슬러지고형연료 (Tcal),-,-,-,-,-,-,-
"바이오에너지",Bio-SRF (Tcal),-,-,-,-,-,-,-
"바이오에너지",바이오중유 (Tcal),-,-,-,1578,2293,3939,2896
"풍력 (MWh)",소계,247161,352001,51000,537994,536566,549944,578059
"수력 (MWh)",소계,440,440,-,2511,2320,2861,3399
"연료전지 (MWh)",소계,-,-,-,-,-,-,191
"해양에너지 (MWh)",소계,-,-,-,-,-,0.25,5.6
"지열에너지 (toe)",소계,1134,1134,-,1642,1706,1771,1771
"수열에너지 (MWh)",소계,-,-,-,1184,1702,1800,1801
"IGCC (MWh)",소계,-,-,-,-,-,-,-
"폐기물에너지",폐가스 (천증기톤),-,-,-,-,-,-,-
"폐기물에너지",산업폐기물 (천증기톤),78,78,-,69,69,52,20
"폐기물에너지",생활폐기물 (천증기톤),48,48,-,206,217,313,229
"폐기물에너지",대형도시쓰레기 (Tcal),96,96,-,-,-,-,-
"폐기물에너지",시멘트킬른보조연료 (천증기톤),-,-,-,-,-,-,-
"폐기물에너지",SRF (Tcal),-,-,-,-,-,-,-
"폐기물에너지",정제연료유 (Tcal),15,15,1921,18,21,13,-
