거래일,거래시간,연료원,전력거래량(MWh)
2021-01-01,01,바이오가스,0.190656
2021-01-01,02,바이오가스,0.19056
2021-01-01,03,바이오가스,0.190608
2021-01-01,04,바이오가스,0.192768
2021-01-01,05,바이오가스,0.190176
2021-01-01,06,바이오가스,0.190704
2021-01-01,07,바이오가스,0.190368
2021-01-01,08,바이오가스,0.321552
2021-01-01,09,바이오가스,0.378864
2021-01-01,10,바이오가스,0.379872
2021-01-01,11,바이오가스,0.380112
2021-01-01,12,바이오가스,0.378816
2021-01-01,13,바이오가스,0.204624
2021-01-01,14,바이오가스,0.190224
2021-01-01,15,바이오가스,0.189696
2021-01-01,16,바이오가스,0.190224
2021-01-01,17,바이오가스,0.19032
2021-01-01,18,바이오가스,0.189696
2021-01-01,19,바이오가스,0.252768
2021-01-01,20,바이오가스,0.379872
2021-01-01,21,바이오가스,0.37992
2021-01-01,22,바이오가스,0.362304
2021-01-01,23,바이오가스,0.18936
2021-01-01,24,바이오가스,0.189744
2021-01-01,01,소수력,0.354822
2021-01-01,02,소수력,0.353088
2021-01-01,03,소수력,0.349536
2021-01-01,04,소수력,0.343212
2021-01-01,05,소수력,0.336762
2021-01-01,06,소수력,0.328212
2021-01-01,07,소수력,0.32451
2021-01-01,08,소수력,0.350016
2021-01-01,09,소수력,0.298422
2021-01-01,10,소수력,0.292716
2021-01-01,11,소수력,0.296502
2021-01-01,12,소수력,0.320004
2021-01-01,13,소수력,0.319266
2021-01-01,14,소수력,0.345036
2021-01-01,15,소수력,0.332112
2021-01-01,16,소수력,0.34479
2021-01-01,17,소수력,0.343536
2021-01-01,18,소수력,0.331602
2021-01-01,19,소수력,0.3327
2021-01-01,20,소수력,0.328392
2021-01-01,21,소수력,0.29301
2021-01-01,22,소수력,0.33684
2021-01-01,23,소수력,0.343038
2021-01-01,24,소수력,0.343602
2021-01-01,01,매립가스,0.344179
2021-01-01,02,매립가스,0.343718
2021-01-01,03,매립가스,0.343373
2021-01-01,04,매립가스,0.343258
2021-01-01,05,매립가스,0.343104
2021-01-01,06,매립가스,0.343142
2021-01-01,07,매립가스,0.343181
2021-01-01,08,매립가스,0.343296
2021-01-01,09,매립가스,0.343526
2021-01-01,10,매립가스,0.34345
2021-01-01,11,매립가스,0.34345
2021-01-01,12,매립가스,0.343488
2021-01-01,13,매립가스,0.34391
2021-01-01,14,매립가스,0.344179
2021-01-01,15,매립가스,0.344102
2021-01-01,16,매립가스,0.344141
2021-01-01,17,매립가스,0.344026
2021-01-01,18,매립가스,0.344141
2021-01-01,19,매립가스,0.344294
2021-01-01,20,매립가스,0.344486
2021-01-01,21,매립가스,0.344909
2021-01-01,22,매립가스,0.345024
2021-01-01,23,매립가스,0.345216
2021-01-01,24,매립가스,0.34537
2021-01-01,01,중유,25.868304
2021-01-01,02,중유,25.869648
2021-01-01,03,중유,25.868752
2021-01-01,04,중유,25.877152
2021-01-01,05,중유,25.868864
2021-01-01,06,중유,25.867072
2021-01-01,07,중유,25.874912
2021-01-01,08,중유,25.861472
2021-01-01,09,중유,25.879168
2021-01-01,10,중유,25.871888
2021-01-01,11,중유,25.861136
2021-01-01,12,중유,25.875136
2021-01-01,13,중유,25.875024
2021-01-01,14,중유,25.87424
2021-01-01,15,중유,25.875472
2021-01-01,16,중유,25.874688
2021-01-01,17,중유,25.87424
2021-01-01,18,중유,25.875584
2021-01-01,19,중유,25.87424
2021-01-01,20,중유,25.874352
2021-01-01,21,중유,25.870208
2021-01-01,22,중유,25.879168
2021-01-01,23,중유,25.878608
2021-01-01,24,중유,25.871104
2021-01-01,01,태양광,0.000216
2021-01-01,02,태양광,0.00024
2021-01-01,03,태양광,0.000224
2021-01-01,04,태양광,0.000232
2021-01-01,05,태양광,0.007168
2021-01-01,06,태양광,0.000416
2021-01-01,07,태양광,0.000368
2021-01-01,08,태양광,0.072604
2021-01-01,09,태양광,4.780787
2021-01-01,10,태양광,16.809321
2021-01-01,11,태양광,44.522247
2021-01-01,12,태양광,52.601657
2021-01-01,13,태양광,39.049464
2021-01-01,14,태양광,27.738084
2021-01-01,15,태양광,22.610119
2021-01-01,16,태양광,15.212952
2021-01-01,17,태양광,8.01513
2021-01-01,18,태양광,1.886875
2021-01-01,19,태양광,0.104596
2021-01-01,20,태양광,0.806764
2021-01-01,21,태양광,0.111212
2021-01-01,22,태양광,0.010696
